seq,title,startDate,endDate,place,realmName,area,thumbnail,gpsX,gpsY
225062,과학축제 우주시민 페스티벌,20221014,20221015,인천 문학시어터,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022092910412946997.jpg,126.686460617327,37.4365451636913
222997,국립극장 레퍼토리 시즌 &lt;한국의 소리 - 추억의 한국가곡&gt;,20221014,20221014,국립극장 해오름극장,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091511194334055.jpg,126.99972273658957,37.55239216032933
222136,김선욱의 차이콥스키 피아노 협주곡 1번,20221014,20221014,예술의전당,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022090613421619989.jpg,127.01421162103271,37.48023893523679
221137,연극 &lt;어느아파트&gt;,20221014,20221015,안산문화예술의전당,연극,,http://www.culture.go.kr/upload/rdf/22/08/show_2022083116332462405.JPG,126.82266447249432,37.32020715312146
221310,일의 기쁨과 슬픔,20221014,20221030,세종문화회관 M씨어터,연극,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091944146094.jpg,126.97569069325554,37.57184667992708
225851,공허와의 만남(Picture a Vacuum),20221014,20221015,국립아시아문화전당 예술극장,무용,,http://www.culture.go.kr/upload/rdf/22/10/show_202210051944742684.jpg,126.92000957565297,35.14808817658071
221110,국립합창단 레퍼토리 시즌〈한국의 사계-추억의 한국가곡〉,20221014,20221014,국립극장 해오름극장,음악,,http://www.culture.go.kr/upload/rdf/22/08/show_2022083115545102590.jpg,126.99972273658957,37.55239216032933
225544,바이올리니스트 조가현 X 피아니스트 김준희 듀오 리사이틀,20221014,20221014,예술의전당 IBK챔버홀,음악,,http://www.culture.go.kr/upload/rdf/22/10/show_20221004161780905.jpg,127.01224985279421,37.47913541861038
226696,[소마미술관] Into Drawing 46_김혜숙 전 : 《낱눈》,20221014,20221113,소마미술관 1관,미술,,http://www.culture.go.kr/upload/rdf/22/10/show_2022101212594433964.png,127.115517876627,37.5203396980951
225712,Mon Petit Voyage | 프렌치 재즈 싱어송라이터 엄주빈 콘서트,20221015,20221015,PMF자양스테이션,음악,,http://www.culture.go.kr/upload/rdf/22/10/show_202210051512573975.jpg,127.08302634367884,37.53463130540217
221417,국립극장 &lt;완창판소리&gt; 10월,20221015,20221015,국립극장 하늘극장,국악,,http://www.culture.go.kr/upload/rdf/22/09/show_202209110163398149.jpg,126.99960956530076,37.55288095146522
223288,"""제7회 M 클래식 축제"" M SQUARE 광장버스킹 〈#2. 오페라 파라디소〉",20221015,20221015,마포아트센터,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091611531531843.jpg,126.94553370030141,37.54990185343695
224263,10월 토요일은 삼각산청이좋아 &lt;우리동네 브라스&gt;,20221015,20221015,삼각산시민청,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022092311195962974.jpg,127.01308915657297,37.656149462874296
221163,넌버벌 퍼포먼스 &lt;페인터즈&gt;,20221015,20221015,복사골문화센터 아트홀,기타,,http://www.culture.go.kr/upload/rdf/22/08/show_202208311752061016.jpg,126.754214739,37.4947840703
223499,아카펠라로 읽는 문학명작 &#39;그 여자네 집&#39; - 아카시아,20221015,20221015,인천수봉문화회관,기타,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091714403711140.jpg,126.66232398474864,37.461552425977665
225944,10월 토요일은 삼각산청이좋아 &lt;우리동네 브라스&gt;,20221015,20221015,삼각산시민청,음악,,http://www.culture.go.kr/upload/rdf/22/10/show_202210061683170192.jpg,127.01308915657297,37.656149462874296
225561,레인보우 키즈 클래식 콘서트 [주황],20221015,20221015,청년창조발전소 3층 문화예술공연장,기타,,http://www.culture.go.kr/upload/rdf/22/10/show_2022100417422143422.jpg,129.100504968787,35.133065917817
223283,"""제7회 M 클래식 축제"" 마포나루 새우젓축제 폐막공연",20221016,20221016,상암 월드컵공원,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091611315823336.jpg,126.89790707231873,37.563196026796305
226755,2022 SOMA 공공미술프로젝트,20221017,20230531,올림픽공원,미술,,http://www.culture.go.kr/upload/rdf/22/10/show_202210121411098427.jpg,127.12062008706634,37.52029098916276
223548,초월(超越),20221018,20221023,국립극장 달오름극장,국악,,http://www.culture.go.kr/upload/rdf/22/09/rdf_2022091821183782950.jpg,127.00002263397805,37.55315350400875
225045,글씨다움展,20221019,20221027,인천광역시교육청평생학습관,미술,,http://www.culture.go.kr/upload/rdf/22/09/show_20220929939546278.jpg,126.67208557141,37.3983025881861
225044,신진(청년)작가 날개달다 2022展,20221019,20221027,인천광역시교육청평생학습관,미술,,http://www.culture.go.kr/upload/rdf/22/09/show_202209299373602569.jpg,126.67208557141,37.3983025881861
222100,스위스 취리히 유스 심포니 오케스트라 내한 공연,20221019,20221019,롯데 콘서트홀,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022090611221637512.jpg,127.10408400209059,37.51364830581288
220537,우리집,20221019,20221023,후암스테이지,연극,,http://www.culture.go.kr/upload/rdf/22/08/show_202208291323870365.jpg,127.000418097935,37.5820587995429
224470,"피아니스트 박혜진, 2022 세실콘서트",20221019,20221019,세실아트홀,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_202209252323150218.jpg,127.03183536674211,37.528132950782385
223431,"2022 재즈 페스타_Fall in Jazz ""고아라의 Jazz Pop 콘서트""",20221020,20221020,반포심산아트홀,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091616585052948.jpg,126.990515657787,37.4988531475655
220973,민속악단 정기공연 &lt;원작을 점고하다 - 신들린 상쇠 오마주&gt;,20221020,20221021,국립국악원 예악당,국악,,http://www.culture.go.kr/upload/rdf/22/08/show_2022083115183198900.jpg,127.00879575094741,37.47764455562692
221105,한국지역난방공사와 함께하는 2022 마티네콘서트(10월),20221020,20221020,성남아트센터 콘서트홀,음악,,http://www.culture.go.kr/upload/rdf/22/08/show_2022083115444297978.gif,127.13208262067572,37.40337701163565
224522,The Class+ 기타리스트 데이비드 러셀,20221020,20221020,신영체임버홀,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022092611312515280.jpg,126.9288747015567,37.521295238027264
