seq,title,startDate,endDate,place,realmName,area,thumbnail,gpsX,gpsY
221414,"국립창극단 &lt;나무, 물고기, 달&gt;",2022-10-04,2022-10-12,국립극장 하늘극장,연극,서울,http://www.culture.go.kr/upload/rdf/22/09/show_202209110124617361.jpg,126.9996096,37.55288095
221417,국립극장 &lt;완창판소리&gt; 10월,2022-10-15,2022-10-15,국립극장 하늘극장,국악,서울,http://www.culture.go.kr/upload/rdf/22/09/show_202209110163398149.jpg,126.9996096,37.55288095
221419,국립무용단 &lt;2022 무용극 호동&gt;,2022-10-27,2022-10-29,국립극장 해오름극장,무용,서울,http://www.culture.go.kr/upload/rdf/22/09/show_202209113281505917.gif,126.9997227,37.55239216
221420,이머시브공연 &lt;금란방&gt; 창작가무극,2022-10-11,2022-11-13,국립정동극장,기타,서울,http://www.culture.go.kr/upload/rdf/22/09/show_202209113274295812.gif,126.972795,37.5658702
221446,SAC Opera Gala,2022-10-21,2022-10-23,예술의전당 오페라극장,기타,서울,http://www.culture.go.kr/upload/rdf/22/09/show_20220911391430435.PNG,127.0138271,37.47935599
221447,2022 토요명품 (9-10월),2022-09-17,2022-10-29,국립국악원 우면당,국악,서울,http://www.culture.go.kr/upload/rdf/22/09/show_202209111555445138.jpg,127.0095307,37.47832026
221449,전래동화음악극 &lt;호랑이와 곶감&gt;,2022-10-28,2022-10-29,복사골문화센터 판타지아극장,기타,경기,http://www.culture.go.kr/upload/rdf/22/09/show_202209113255036868.jpg,126.754321,37.49496584
221453,괴물,2022-10-06,2022-10-30,문래예술공장 박스시어터,연극,서울,http://www.culture.go.kr/upload/rdf/22/09/show_202209011491691424.jpg,126.9001525,37.51325102
221454,제5회 SDP국제 페스티벌,2022-10-06,2022-10-08,서강대 메리홀,무용,서울,http://www.culture.go.kr/upload/rdf/22/09/show_2022090114264353270.jpg,126.939537,37.55212891
221516,2022 익산 미륵사지 세계유산 미디어아트 페스타,2022-09-03,2022-10-03,미륵사지,기타,전북,http://www.culture.go.kr/upload/rdf/22/09/show_202209011642267451.jpg,127.0287409,36.01178783
221559,심청전을 짓다 [수원],2022-10-01,2022-10-01,경기아트센터,연극,경기,http://www.culture.go.kr/upload/rdf/22/09/rdf_202209012117770057.gif,127.0374319,37.2618899
221560,신재민 귀국 피아노 독주회,2022-10-01,2022-10-01,예술의전당 IBK챔버홀,음악,서울,http://www.culture.go.kr/upload/rdf/22/09/rdf_202209012117738953.gif,127.0122499,37.47913542
221563,빨간모자와 늑대 [가평],2022-10-01,2022-10-01,가평문화예술회관,기타,경기,http://www.culture.go.kr/upload/rdf/22/09/rdf_202209012117891735.gif,127.5085245,37.82422744
221574,왕국의 전설: 잃어버린 이야기,2022-10-01,2022-10-01,영도문화예술회관,연극,부산,http://www.culture.go.kr/upload/rdf/22/09/rdf_2022090121171021560.jpg,129.0660429,35.07565409
221719,[집밖] 이상민 기증전,2022-06-14,2022-10-16,부산시립박물관,미술,부산,http://www.culture.go.kr/upload/rdf/22/09/show_20220921449331824.jpg,129.094027,35.12959064
221720,[집밖] S프로젝트_커넥티드터널,2022-09-02,2022-12-31,소마미술관,미술,서울,http://www.culture.go.kr/upload/rdf/22/09/show_20220921453320003.jpg,127.118013,37.51690135
